Date,BTC,BTC Volume mln,Bitcoin My Wallet Number of Transaction Per Day,NVDA,Ethereum,DJI,,
4/3/20,6733.387207,38976.50,88719,60.977501,142.091309,21052.53,,
4/6/20,7271.78125,46896.90,91812,67.099998,169.13588,22679.99,,
4/7/20,7176.414551,44243.48,91546,64.7575,165.101944,22653.86,,
4/8/20,7334.098633,37563.25,80889,66.737503,172.641739,23433.57,,
4/9/20,7302.089355,34815.14,88722,65.737503,170.807144,23719.37,,
4/13/20,6845.037598,38619.31,83770,67.462502,156.279556,23390.77,,
4/14/20,6842.427734,34110.43,93476,70.987503,157.59639,23949.76,,
4/15/20,6642.109863,32288.31,95601,70.209999,153.286896,23504.35,,
4/16/20,7116.804199,46783.24,100430,73.675003,172.157379,23537.68,,
4/17/20,7096.18457,32513.42,95436,73.080002,171.63858,24242.49,,
4/20/20,6881.958496,37747.11,93267,71.762497,172.297165,23650.44,,
4/21/20,6880.323242,32589.74,97508,67.377502,172.737701,23018.88,,
4/22/20,7117.20752,33249.15,98530,71.537498,182.599579,23475.82,,
4/23/20,7429.724609,43500.78,105336,71.002502,185.028671,23515.26,,
4/24/20,7550.900879,34636.53,101644,72.397499,189.236938,23775.27,,
4/27/20,7795.601074,36162.14,100244,74.269997,197.224716,24133.78,,
4/28/20,7807.058594,33187.96,104109,72.839996,198.41539,24101.55,,
4/29/20,8801.038086,60201.05,112180,74.614998,216.968231,24633.86,,
4/30/20,8658.553711,66964.63,115334,73.07,207.602051,24345.72,,
5/1/20,8864.766602,44068.39,100142,70.695,214.219101,23723.69,,
5/4/20,8912.654297,45718.80,105757,72.822502,208.174011,23749.76,,
5/5/20,9003.070313,43148.46,109312,73.434998,206.774399,23883.09,,
5/6/20,9268.761719,49371.89,111430,74.447502,204.055786,23664.64,,
5/7/20,9951.518555,61112.70,115385,76.217499,212.289413,23875.89,,
5/8/20,9842.666016,51780.75,113613,78.125,212.991577,24331.32,,
5/11/20,8601.795898,57119.86,98717,80.654999,185.912842,24221.99,,
5/12/20,8804.477539,42142.72,106668,78.025002,189.3125,23764.78,,
5/13/20,9269.987305,45558.14,108965,77.800003,199.193283,23247.97,,
5/14/20,9733.72168,56426.91,105883,80.305,202.949097,23625.34,,
5/15/20,9328.197266,48158.80,97649,84.907501,195.622665,23685.42,,
5/18/20,9726.575195,41827.14,90071,87.502502,214.525055,24597.37,,
5/19/20,9729.038086,39254.29,92960,88.055,213.451111,24206.86,,
5/20/20,9522.981445,36546.24,94486,89.699997,210.096741,24575.9,,
5/21/20,9081.761719,39326.16,93371,87.752502,199.883606,24474.12,,
5/22/20,9182.577148,29810.77,89905,90.262497,207.169189,24465.16,,
5/26/20,8835.052734,29584.19,94097,87.177498,201.902313,24995.11,,
5/27/20,9181.017578,32740.54,101086,85.252502,208.863434,25548.27,,
5/28/20,9525.750977,34367.07,99204,84.870003,219.840424,25400.64,,
5/29/20,9439.124023,32896.64,100135,88.754997,220.675125,25383.11,,
6/1/20,10167.26856,35198.90,102248,88.0625,246.99176,25475.02,,
6/2/20,9529.803711,39137.25,107854,88.252502,237.219055,25742.65,,
